h,POROSITY,K,k/uob,Sw,T,API,PI,Bo,Pep,Pb/Pa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,Bol,Bob,Boa,OOIP,OO/Pcsic,REC
13.0,0.065,21.00,8.54,0.328,98.0,36.0,1950.0,1041.0,100.0,10.41,2.75,2.75,4.00,1.043,254.0,254.0,80.0,1.125,1.125,1.060,709,704.01,87
50.0,0.139,5.00,3.73,0.250,98.0,32.0,1865.0,1865.0,200.0,9.33,1.34,1.34,3.30,0.917,500.0,500.0,130.0,1.245,1.245,1.100,303,303.78,36
23.5,0.198,28.20,28.78,0.248,136.0,35.2,3040.0,2060.0,100.0,20.60,1.10,1.10,2.00,0.653,603.0,603.0,110.0,1.319,1.319,1.190,612,607.07,93
19.0,0.203,268.00,412.31,0.504,125.0,42.0,1700.0,900.0,170.0,5.29,0.75,0.75,0.92,0.576,270.0,270.0,50.0,1.150,1.150,1.060,663,634.91,206
16.0,0.150,33.00,22.45,0.435,97.0,36.0,2385.0,2285.0,100.0,22.85,1.47,1.47,4.00,0.997,441.0,441.0,30.0,1.178,1.178,1.100,755,754.71,82
50.0,0.354,29.00,13.30,0.320,95.0,29.0,1300.0,752.0,200.0,3.76,2.26,2.26,2.65,0.793,380.0,380.0,100.0,1.260,1.280,1.190,620,590.53,233
120.0,0.350,1620.00,4500.00,0.190,128.0,14.0,1040.0,750.0,370.0,2.03,0.42,0.42,0.28,0.601,86.0,86.0,30.0,1.034,1.034,1.050,2146,2124.67,298
270.0,0.320,700.00,66.67,0.270,149.0,18.3,1409.0,1300.0,210.0,6.19,11.00,11.00,21.80,0.487,185.0,185.0,80.0,1.105,1.105,1.040,1786,1785.74,425
300.0,0.280,445.00,404.55,0.290,166.0,29.0,1650.0,1307.0,230.0,5.68,1.20,1.20,1.00,0.423,300.0,300.0,30.0,1.140,1.140,1.110,1590,1535.76,424
101.0,0.260,125.00,46.30,0.430,199.0,22.0,2151.0,1900.0,100.0,10.00,2.70,2.70,3.70,0.328,320.0,320.0,10.0,1.200,1.200,1.030,958,934.74,110
107.0,0.240,100.00,47.62,0.470,233.0,27.4,2700.0,2700.0,1000.0,27.00,2.10,2.10,12.00,0.264,480.0,480.0,90.0,1.300,1.300,1.045,759,759.09,100
30.0,0.080,0.10,0.20,0.350,135.0,37.0,2675.0,2675.0,800.0,3.34,0.51,0.51,0.91,0.650,817.0,817.0,362.0,1.454,1.454,1.252,277,277.45 ,16
11.0,0.170,45.60,15.20,0.400,76.0,45.0,950.0,950.0,50.0,19.00,3.00,3.00,5.00,0.994,420.0,420.0,100.0,1.200,1.200,1.050,659,659.43 ,132
25.0,0.172,6.70,7.36,0.450,75.0,48.0,900.0,900.0,50.0,18.00,0.91,0.91,1.27,1.250,575.0,575.0,80.0,1.230,1.230,1.080,597,596.67 ,100
38.0,0.158,7.50,2.50,0.350,90.0,42.0,1500.0,1500.0,50.0,30.00,3.00,3.00,4.50,0.921,1000.0,1000.0,50.0,1.450,1.450,1.030,542,542.52 ,186
24.0,0.180,63.00,52.50,0.300,119.0,38.0,1365.0,1365.0,100.0,13.65,1.20,1.20,4.00,0.785,350.0,350.0,100.0,1.250,1.250,1.040,782,782.01 ,141
43.0,0.168,100.00,35.71,0.280,118.0,40.0,1200.0,1200.0,50.0,24.00,2.80,2.80,3.00,0.797,390.0,390.0,50.0,1.200,1.200,1.050,794,782.01 ,193
28.0,0.140,35.00,70.00,0.400,127.0,44.4,2060.0,2060.0,100.0,20.00,0.50,0.50,3.00,0.732,860.0,860.0,100.0,1.471,1.471,1.040,443,443.01 ,103
60.7,0.148,61.00,20.33,0.290,132.0,41.0,1980.0,1004.0,200.0,5.02,2.00,2.00,4.50,0.612,320.0,320.0,170.0,1.260,1.260,1.130,647,673.73 ,159
21.7,0.150,35.00,31.82,0.250,158.0,38.0,2025.0,2025.0,200.0,10.13,1.10,1.10,6.50,0.438,450.0,450.0,100.0,1.840,1.840,1.020,703,703.85 ,78
61.0,0.069,5.30,15.14,0.350,124.0,43.1,3071.0,2200.0,300.0,7.33,0.30,0.30,0.84,0.762,1415.0,1415.0,400.0,1.800,1.800,1.300,189,187.07 ,28
60.0,0.073,4.30,14.33,0.380,130.0,44.0,3157.0,2300.0,450.0,5.11,0.34,0.34,0.70,0.582,1500.0,1500.0,450.0,1.298,1.298,1.350,204,201.43 ,153
18.0,0.179,10.60,11.52,0.380,103.0,40.0,2560.0,2090.0,400.0,5.23,0.96,0.96,1.75,0.799,615.0,615.0,200.0,1.369,1.369,1.150,683,660.26 ,80
31.0,0.158,3.40,6.80,0.380,123.0,39.0,2885.0,1940.0,500.0,3.68,0.55,0.55,1.25,0.930,710.0,710.0,325.0,1.070,1.070,1.225,675,549.11 ,148
15.0,0.150,157.40,52.47,0.250,82.0,30.5,740.0,740.0,300.0,2.47,3.00,3.00,3.70,0.921,275.0,275.0,125.0,1.530,1.530,1.050,802,674.29 ,245
23.0,0.180,250.00,217.39,0.370,83.0,42.0,750.0,732.0,75.0,9.76,1.15,1.15,1.67,0.962,303.0,303.0,90.0,1.090,1.090,1.070,686,908.35 ,140
