h,POROSITY,K,SORT(k/POR),kUwi/Uoi,Sw,T,API,PI,Bp,Pep,PVPa,Uoi,Ubp,Uoa,Uw,Rsi,Rsb,Rsa,BoJ,Bob,Boa,OOIP,REC,OOIPCALC
121.0000,0.1470,193.0000,38.2300,162.9300,0.1180,105.0000,22.1000,1585.0000,800.0000,651.0000,0.4100,11.5000,10.8000,11.0000,0.7150,162.0000,162.0000,133.0000,1.0920,1.0920,1.1750,867.0000,158.0000,921.1130
33.0000,0.1590,140.0000,29.6700,103.1600,0.1120,112.0000,21.1000,1565.0000,750.0000,700.0000,2.2400,19.0000,13.8000,14.0000,0.8840,128.0000,128.0000,120.0000,1.0880,1.0880,1.0890,948.0000,166.0000,1006.7720
80.0000,0.2000,584.0000,54.0400,817.1600,0.4500,105.0000,35.0000,2000.0000,2000.0000,200.0000,10.0000,2.5000,2.5000,3.5000,0.8970,400.0000,400.0000,50.0000,1.1200,1.1200,1.0510,762.0000,125.0000,761.9460
17.0000,0.1900,58.0000,17.1700,56.0000,0.3500,123.0000,36.0000,1701.0000,750.0000,100.0000,17.0000,3.5000,3.5000,3.5000,0.5980,117.0000,117.0000,50.0000,1.0800,1.0800,1.0300,872.0000,135.0000,887.1420
46.0000,0.1250,23.0000,13.5800,48.0000,0.3000,123.0000,22.0000,1950.0000,1900.0000,100.0000,1014.0000,10.0000,9.0000,0.5000,0.5000,450.0000,450.0000,50.0000,1.2200,1.2200,0.1100,558.0000,480.0000,556.4140
48.0000,0.1700,168.0000,31.4400,156.2600,0.2900,214.0000,52.0000,4070.0000,477.0000,3560.0000,1.1400,0.4300,0.3200,0.4000,0.3160,139.0000,139.0000,140.0000,1.1770,1.1770,1.2200,796.0000,350.0000,795.5740
45.0000,0.1800,170.0000,30.7300,170.0000,0.2500,125.0000,38.0000,2800.0000,3000.0000,2000.0000,1.4000,3.0000,3.0000,0.3000,0.5800,3000.0000,3000.0000,501.0000,12.0000,12.0000,1.1000,875.0000,350.0000,872.7750
63.0000,0.1460,7.0000,6.9200,4.5700,0.3100,225.0000,80.0000,3638.0000,575.0000,3100.0000,1.1700,0.2300,0.1400,0.1500,0.2080,141.0000,141.0000,140.0000,1.2070,1.2070,1.2200,646.0000,122.0000,647.5070
6.0000,0.3500,847.0000,49.1900,1482.2500,0.3100,104.0000,19.0000,720.0000,720.0000,600.0000,1.2000,16.0000,16.0000,28.0000,0.7000,80.0000,0.0000,0.0000,1.0400,1.0400,1.0000,1801.0000,992.0000,1801.4970
18.0000,0.3200,600.0000,43.3000,2000.0000,0.4000,105.0000,20.0000,650.0000,650.0000,50.0000,13.0000,15.0000,15.0000,50.0000,0.7230,250.0000,0.0000,0.0000,1.1000,1.1000,1.0000,1350.0000,870.0000,1354.1240
14.0000,0.3200,450.0000,37.5000,531.8200,0.2800,209.0000,40.0000,3853.0000,2107.0000,1000.0000,3.6500,0.4400,0.3800,0.5200,0.3050,525.0000,525.0000,276.0000,1.9230,1.9230,1.2400,1351.0000,602.0000,1351.0530
